TIMESTAMP_END,LE_F_MDS,NETRAD,H_F_MDS
2018-07-04 03:30:00,-2.72498,-71.954482,-19.9092
2018-07-04 04:00:00,-3.89391,-73.99379,-15.2357
2018-07-04 04:30:00,-1.39859,-69.150572,-7.97344
2018-07-04 05:00:00,-1.62995,-71.681882,-18.8343
2018-07-04 05:30:00,2.92484,-44.478214,-22.6378
2018-07-04 06:00:00,29.1223,11.213238,-8.64161
2018-07-04 06:30:00,40.264,78.833247,15.707
2018-07-04 07:00:00,61.9676,156.069843,34.8475
2018-07-04 07:30:00,81.8956,232.266661,84.2851
2018-07-04 08:00:00,96.1886,305.325012,109.317
2018-07-04 08:30:00,103.019,371.624044,132.695
2018-07-04 09:00:00,130.054,432.430957,172.281
2018-07-04 09:30:00,130.273,483.153268,174.743
2018-07-04 10:00:00,149.726,528.887089,202.622
2018-07-04 10:30:00,193.816,569.966771,227.355
2018-07-04 11:00:00,189.987,606.534148,243.517
2018-07-04 11:30:00,173.98,625.477485,223.19
2018-07-04 12:00:00,187.594,638.568907,224.502
2018-07-04 12:30:00,207.177,640.441406,234.186
2018-07-04 13:00:00,178.114,636.401559,220.105
2018-07-04 13:30:00,195.539,618.279732,225.851
2018-07-04 14:00:00,187.579,589.906068,218.126
2018-07-04 14:30:00,191.072,556.47886,242.268
2018-07-04 15:00:00,194.841,512.166256,199.62
2018-07-04 15:30:00,205.137,452.438056,210.066
2018-07-04 16:00:00,176.244,388.889418,186.628
2018-07-04 16:30:00,132.44,319.217433,127.67
2018-07-04 17:00:00,124.792,247.333121,105.28
2018-07-04 17:30:00,95.3659,174.161801,64.8697
2018-07-04 18:00:00,57.4839,104.448655,38.4152
2018-07-04 18:30:00,59.7725,35.259012,8.01028
2018-07-04 19:00:00,29.7917,-23.829591,-6.77991
2018-07-04 19:30:00,9.6866,-63.167799,-15.7144
2018-07-04 20:00:00,10.2938,-83.755074,-36.9359
2018-07-04 20:30:00,6.99746,-82.417622,-28.1357
2018-07-04 21:00:00,1.18849,-78.153414,-13.6346
2018-07-04 21:30:00,-0.70194,-70.903411,-11.123
2018-07-04 22:00:00,3.00807,-74.552006,-25.5597
2018-07-04 22:30:00,3.11206,-74.38125,-18.7162
2018-07-04 23:00:00,0.157916,-72.097844,-21.2604
2018-07-04 23:30:00,0.498289,-71.687533,-22.6907
2018-07-05 00:00:00,-0.084285,-71.048337,-20.937
2018-07-05 00:30:00,-2.11976,-67.54206,-14.7461
2018-07-05 01:00:00,-2.52152,-66.880021,-18.6374
2018-07-05 01:30:00,-2.368,-65.408198,-10.669
2018-07-05 02:00:00,-0.712073,-62.973521,-5.42218
2018-07-05 02:30:00,-2.39297,-60.430468,-4.2665
2018-07-05 03:00:00,2.01211,-57.433225,0.681971
2018-07-05 03:30:00,-2.80064,-55.392908,-2.95315
2018-07-05 04:00:00,-3.01434,-52.906632,-2.44782
2018-07-05 04:30:00,-2.8981,-48.594642,-0.560584
2018-07-05 05:00:00,8.27099,-38.330956,-2.18821
