Site_ID,Latitude,Longitude,MAT,MAP,Annual_coverage,Soil_BD,Rs_annual
CN-QH-CK,37.2835,101.02499999999999,0.020000000000000018,379.67499999999995,0.79,0.9499999999999998,1295.4266666666665
ES-CDG-NAT,36.94166667,-2.032777778,18.0,220.0,1.0,1.25,416.0
US-SOR-HEAT,42.27805556,-123.6427778,12.3,1434.0,1.0,1.04,1055.0
US-STC-2001C4,42.18,-93.5,9.2,865.0,1.0,1.28,730.0
FI-KAN-AB2,63.9,23.929999999999996,2.4,561.0,1.0,0.4000000000000001,441.6666666666667
PA-SAR-GRA,9.316666667,-79.63333333,26.0,2600.0,1.0,0.97,3141.0
CN-QSF-KB,31.67,121.5,15.3,1003.7,1.0,1.32,658.0
ES-DDE-TILL,39.98333333,-5.133333333,15.3,572.0,0.58,1.11,719.0
FI-KAN-AB3,63.9,23.929999999999996,2.4,561.0,1.0,0.38000000000000006,466.0
CN-HEN-WHEAT2,34.82,114.28,14.3,627.0,1.0,1.31,949.0
FI-KAN-AB1,63.9,23.929999999999996,2.4,561.0,1.0,0.38000000000000006,400.6666666666667
ID-KAL-FL3,2.3,114.0,26.3,2235.0,1.0,0.12,902.28
CN-BTM-NBM,33.47,111.92,15.1,900.0,1.0,0.96,821.23
BE-DIF-OAK,51.303333333333335,4.52,9.8,755.6666666666666,1.0,1.4,843.3333333333334
CN-TTP-LN,29.87,121.65,16.0,1374.0,1.0,1.13,1222.34
CN-DBR-10GN,23.17,112.17,21.0,1927.0,1.0,0.98,552.0
CN-BTM-PINUS,33.5,112.0,15.1,900.0,0.75,0.69,761.0
US-BRF-NTSWS,30.53,-94.43,20.0,978.0,1.0,1.42,534.0
CN-SHB-MAT,42.41,117.25,-1.4,450.0,0.75,1.47,464.27
CN-TME-PLANT,37.90392222,114.2550444,13.0,560.0,1.0,1.32,648.5
CN-DNR-BF,23.17,112.53,21.4,1927.0,1.0,1.495,600.0
IE-SWI-LP25CM,52.3,-9.15,6.6,1600.0,0.91,0.11,370.295
KR-GWF-ABIES,37.991666665,127.21683335,11.4,1435.0,1.0,1.05,783.75
CN-XEF-IV,26.19,117.43,19.1,1749.0,1.0,0.93,1502.0
IN-ANA-AP,34.04,75.32,17.0,1289.0,0.75,0.55,823.5675000000001
CN-DHS-PFIRG,23.17,112.6,21.4,1956.0,1.0,1.32,961.0
IE-SWI-LP5CM,52.3,-9.15,6.6,1600.0,0.91,0.11,453.91
ES-NPC-IRS,42.27,2.97,15.5,450.0,1.0,1.14,1104.0
CN-QERC-MP1,26.73,115.05,6.4,1469.0,1.0,1.42,975.3
ID-KAL-CL3,2.3,114.0,26.3,2235.0,1.0,0.42,2890.8
ES-BSL-L2PN,41.83,2.5,12.0,872.0,1.0,1.09,322.434
CN-DHS-MF,23.155,112.5275,21.6625,1807.125,1.0,1.03,1099.32
US-WI-E,45.53,-87.93,6.9,740.0,1.0,0.79,1680.0
RU-MSC-HOMB,55.708,37.526,5.0,689.2,0.7475,0.9,722.05
CH-FRA,47.11583333,8.537777778,6.1,1682.0,1.0,1.35,2384.0
ZA-PTZ-AM,-30.4,24.4,16.0,694.0,1.0,1.15,912.03
BF-BOR-BON,10.8655,-3.072638889,29.5,926.0,0.5,1.43,483.0
US-KOP-FC,39.08,-96.58,12.9,844.0,1.0,1.2,1342.0
US-BRF-WHEATNT,30.53,-94.43,20.0,978.0,1.0,1.52,662.0
CN-XEF-VIII,26.19,117.43,19.1,1749.0,1.0,1.1,843.0
JP-SHE-164N,42.43333333,142.4833333,7.9,1365.0,1.0,0.78,975.0
IT-SCL-WBDL,37.5,13.5,15.9,552.0,1.0,1.07,244.55
ID-HFR-CLAYJR,-1.99,103.3,26.7,2235.0,1.0,0.9,1555.0
KR-HEL-DS,37.46444444,127.0878667,13.5,1473.0,1.0,0.81,1226.0
UK-AHR-YR2,51.15,-0.85,9.8,808.0,1.0,0.7,642.1
