realization_id,priestley_taylor_alpha-snow,priestley_taylor_alpha-transpiration,snowmelt_rate,snowmelt_degree_diff,perm_s3,perm_s4,perm_g1,perm_g4
101,1.12265625,0.98203125,2.4938281250000003,1.90625,-11.944340388637482,-11.839846658325914,-12.453437917381596,-12.046875
102,0.8976562499999998,0.30703125,3.521328125,4.90625,-12.444340388637482,-11.339846658325914,-12.953437917381596,-12.546875
103,0.44765625,0.7570312499999999,1.4663281250000002,2.90625,-11.444340388637482,-10.339846658325914,-11.953437917381596,-13.546875
104,0.50390625,0.7007812499999999,3.778203125,1.65625,-12.569340388637482,-10.714846658325914,-13.328437917381596,-13.171875
105,0.95390625,1.15078125,1.7232031250000002,3.65625,-11.569340388637482,-11.714846658325914,-12.328437917381596,-12.171875
106,1.1789062499999998,0.4757812499999999,4.805703125000001,2.65625,-11.069340388637482,-12.214846658325914,-12.828437917381596,-12.671875
107,0.7289062499999999,0.92578125,2.750703125,4.65625,-12.069340388637482,-11.214846658325914,-11.828437917381596,-13.671875
108,0.6164062499999999,0.36328125,2.2369531250000003,4.15625,-11.819340388637482,-10.464846658325914,-12.578437917381596,-12.921875
109,1.06640625,0.81328125,4.291953125000001,2.15625,-10.819340388637482,-11.464846658325914,-11.578437917381596,-13.921875
110,0.8414062499999999,0.58828125,3.264453125,3.15625,-11.319340388637482,-11.964846658325914,-13.078437917381596,-13.421875
111,0.3914062499999999,1.0382812499999998,5.319453125000001,1.15625,-12.319340388637482,-10.964846658325914,-12.078437917381596,-12.421875
112,0.36328125,0.6164062499999999,1.851640625,4.78125,-11.131840388637482,-11.527346658325914,-11.640937917381596,-13.484375
113,0.81328125,1.06640625,3.906640625,2.78125,-12.131840388637482,-10.527346658325914,-12.640937917381596,-12.484375
114,1.0382812499999998,0.3914062499999999,2.879140625,3.78125,-12.631840388637482,-11.027346658325914,-12.140937917381596,-12.984375
115,0.58828125,0.8414062499999999,4.934140625,1.78125,-11.631840388637482,-12.027346658325914,-13.140937917381596,-13.984375
116,0.7007812499999999,0.50390625,4.4203906250000005,1.28125,-11.381840388637482,-11.777346658325914,-12.390937917381596,-12.734375
